"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시 광진구 화양동(1121571000)","23,369","23,369","286","695","10,347","4,777","2,052","1,958","1,671","1,029","490","62","2"
"서울특별시 광진구 군자동(1121573000)","19,153","19,153","651","956","4,273","3,501","2,490","2,634","2,550","1,370","661","65","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,266","15,266","574","668","2,823","3,038","1,953","2,323","2,182","1,133","504","66","2"
"서울특별시 광진구 중곡제2동(1121575000)","20,606","20,606","859","1,245","3,330","3,684","2,865","3,322","3,042","1,575","611","70","3"
"서울특별시 광진구 중곡제3동(1121576000)","15,764","15,764","597","836","2,342","2,750","2,071","2,679","2,509","1,343","584","53","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,599","27,599","1,037","1,663","3,964","4,052","3,578","5,063","4,687","2,419","1,022","110","4"
"서울특별시 광진구 능동(1121578000)","11,115","11,115","445","499","2,250","2,464","1,606","1,433","1,302","730","350","35","1"
"서울특별시 광진구 광장동(1121581000)","34,065","34,065","2,457","5,404","3,850","3,346","6,883","6,021","3,465","1,561","904","170","4"
"서울특별시 광진구 자양제1동(1121582000)","21,898","21,898","740","1,400","3,918","3,800","3,151","3,380","3,065","1,598","761","84","1"
"서울특별시 광진구 자양제2동(1121583000)","23,670","23,670","1,240","1,688","3,223","3,675","3,595","3,903","3,701","1,803","740","99","3"
"서울특별시 광진구 자양제3동(1121584000)","27,260","27,260","1,956","2,417","3,453","3,886","4,249","4,562","3,819","1,777","965","172","4"
"서울특별시 광진구 자양제4동(1121584700)","19,838","19,838","794","911","3,250","3,354","2,567","3,133","3,216","1,753","774","84","2"
"서울특별시 광진구 구의제1동(1121585000)","23,186","23,186","864","1,183","4,798","4,566","3,256","3,434","2,854","1,438","703","87","3"
"서울특별시 광진구 구의제2동(1121586000)","25,688","25,688","1,354","2,129","3,321","3,617","4,030","4,438","3,761","2,041","893","98","6"
"서울특별시 광진구 구의제3동(1121587000)","27,817","27,817","1,588","2,277","4,107","4,494","4,066","4,652","3,769","1,857","880","123","4"
"서울특별시 동대문구 (1123000000)","341,521","341,521","18,395","22,867","57,102","49,380","48,835","52,313","48,674","28,259","13,998","1,640","58"
"서울특별시 동대문구 용신동(1123053600)","38,430","38,430","1,998","1,921","7,044","7,029","5,527","5,557","5,032","2,705","1,451","159","7"
"서울특별시 동대문구 제기동(1123054500)","23,213","23,213","813","1,188","4,421","2,988","2,644","3,490","3,742","2,452","1,317","150","8"
"서울특별시 동대문구 전농제1동(1123056000)","31,784","31,784","1,946","2,039","4,814","4,412","4,685","5,212","4,686","2,539","1,290","155","6"
"서울특별시 동대문구 전농제2동(1123057000)","18,026","18,026","997","1,572","2,023","2,100","2,692","3,148","2,893","1,622","894","83","2"
"서울특별시 동대문구 답십리제1동(1123060000)","27,894","27,894","2,315","1,909","3,844","4,839","4,646","4,060","3,505","1,799","866","103","8"
"서울특별시 동대문구 답십리제2동(1123061000)","27,519","27,519","1,574","1,733","3,180","4,229","3,810","4,584","4,465","2,519","1,275","149","1"
"서울특별시 동대문구 장안제1동(1123065000)","37,492","37,492","2,119","2,515","4,914","5,961","6,135","5,758","5,605","3,122","1,221","135","7"
"서울특별시 동대문구 장안제2동(1123066000)","32,582","32,582","2,478","2,858","3,703","4,722","5,753","5,013","4,499","2,461","970","121","4"
"서울특별시 동대문구 청량리동(1123070500)","18,767","18,767","622","944","2,230","2,157","2,185","3,066","3,791","2,378","1,207","184","3"
"서울특별시 동대문구 회기동(1123071000)","10,444","10,444","316","732","3,479","1,451","1,181","1,219","964","636","410","54","2"
